paper_id	area_id
1000	01
1001	10
1002	07
1003	10
1004	11
1007	09
1008	09
1009	06
0101	07
1010	09
1012	05
1013	01
1014	05
1015	12
1017	10
1018	03
1019	05
0102	09
1022	05
1023	02
1024	11
1025	09
1026	08
1027	11
1028	03
1029	05
0103	04
1031	01
1032	05
1033	02
1034	10
1035	07
1037	09
1038	07
1039	10
0104	03
1040	07
1041	06
1043	01
1044	01
1047	08
1049	08
0105	07
1050	07
1054	07
1057	06
1058	09
0106	08
1060	09
1061	04
1062	11
1063	10
1065	02
1068	11
1069	06
0107	03
1070	01
1072	10
1073	03
1075	03
1076	05
1079	07
0108	01
1080	07
1082	07
1083	02
1085	06
1086	02
1087	01
1089	04
1091	01
1092	01
1093	03
1094	07
1095	01
1096	08
1097	02
1098	07
1099	03
0110	10
1100	12
1101	05
1102	08
1103	05
1104	01
1105	04
1107	04
1108	04
1109	05
0111	06
1110	06
1112	08
1113	11
1114	09
1115	12
1116	05
1117	02
0112	03
1121	06
1122	01
1123	04
1124	05
1125	05
1126	06
1127	01
1128	07
1129	07
0113	07
1130	07
1131	01
1132	04
1133	06
1134	07
1135	08
1136	06
1137	03
1138	01
1139	07
0114	08
1140	05
1141	01
1142	06
1143	11
1144	09
1145	09
1146	05
1147	03
1148	06
0115	09
1152	11
1153	03
1154	07
1157	07
1158	03
1160	08
1161	04
1162	01
1163	08
1164	04
1166	03
1167	07
1169	10
0117	03
1171	05
1173	05
1174	05
1176	11
1177	05
1178	02
1179	01
0118	07
1180	09
1184	08
1185	08
1186	05
1188	05
0119	04
1190	10
1194	01
1199	09
0120	03
1200	08
1201	02
1202	07
1203	02
1206	11
1209	01
0121	06
1211	01
1212	05
1213	09
1214	07
1215	07
1217	05
1218	02
1219	06
0122	08
1220	07
1221	07
1222	11
1223	10
1224	07
1225	02
1226	03
1227	07
0123	05
1230	07
1231	01
1233	08
1236	05
1238	05
1239	05
0124	09
1241	05
1242	11
1243	05
1244	01
1245	05
1246	02
1249	01
0125	02
1250	01
1251	10
1252	07
1255	09
1256	01
1257	01
1258	07
1259	10
0126	07
1260	05
1262	05
1264	01
1266	07
1267	05
1268	03
0127	02
1270	08
1271	02
1272	09
1273	01
1274	03
1275	03
1277	04
1279	01
0128	07
1280	05
1281	05
1284	04
1286	01
1287	07
1288	05
0129	07
1290	07
1291	03
1293	09
1296	05
1297	07
1298	10
1299	10
0130	12
1302	05
1303	07
1304	07
1309	09
0131	07
1311	06
1312	07
1315	06
1317	08
1318	02
0132	04
1320	09
1321	03
1322	08
1323	02
1324	03
1326	08
1327	09
1328	06
1329	05
0133	01
1332	08
1334	03
1335	05
1337	07
1338	01
0134	11
1342	09
1343	10
1345	03
1346	05
1348	05
1349	09
0135	06
1352	02
1353	11
1354	07
1355	03
1357	07
1359	05
0136	05
1360	01
1361	11
1364	07
1366	05
1367	02
1368	09
1369	05
0137	05
1372	11
1373	08
1374	01
1377	01
1378	02
0138	02
1382	07
1383	07
1385	02
1386	06
1389	05
0139	06
1390	01
1392	05
1394	05
1395	07
1396	10
1398	07
1399	07
0140	11
1401	07
1402	07
1404	03
1405	08
1406	05
1407	02
0141	06
0143	07
0144	04
0145	05
0146	03
0147	01
0150	01
0151	11
0152	02
0153	07
0154	11
0155	03
0157	04
0158	06
0160	01
0161	07
0162	01
0164	06
0165	07
0166	04
0167	02
0168	04
0169	01
0170	07
0171	07
0172	07
0173	08
0174	07
0176	06
0177	06
0178	11
0179	09
0180	11
0181	07
0182	04
0183	07
0184	06
0185	07
0188	07
0189	08
0190	05
0192	06
0193	10
0195	07
0196	01
0197	09
0198	06
0199	09
0200	06
0201	02
0202	02
0203	01
0205	01
0206	06
0207	09
0208	03
0209	09
0210	01
0211	10
0212	01
0213	07
0214	03
0217	11
0220	11
0222	07
0223	05
0224	07
0225	06
0226	10
0227	05
0228	08
0229	11
0230	01
0231	01
0233	03
0235	05
0236	03
0237	12
0238	09
0239	01
0240	05
0241	05
0242	10
0243	04
0245	07
0246	10
0247	04
0248	09
0250	08
0251	08
0252	06
0253	02
0254	01
0255	10
0256	07
0257	05
0258	06
0259	07
0260	07
0261	08
0263	01
0264	06
0265	01
0267	01
0268	07
0269	07
0027	01
0270	08
0271	06
0272	03
0273	07
0274	11
0275	01
0276	07
0277	06
0278	06
0279	07
0028	02
0280	04
0281	03
0282	08
0285	03
0286	06
0287	10
0288	01
0289	02
0290	05
0291	01
0292	07
0293	07
0294	01
0295	10
0297	03
0298	01
0299	09
0300	01
0302	04
0303	01
0305	01
0306	07
0308	05
0309	02
0031	01
0310	05
0311	04
0312	03
0313	05
0314	02
0315	11
0316	08
0317	08
0318	07
0319	01
0320	02
0321	01
0322	03
0324	07
0325	07
0326	07
0327	03
0328	02
0329	06
0033	03
0330	03
0333	07
0334	07
0335	05
0336	12
0337	08
0338	12
0339	01
0341	10
0342	06
0343	09
0344	06
0345	08
0346	04
0347	01
0348	07
0349	05
0035	04
0350	05
0351	01
0352	02
0354	07
0355	09
0357	02
0358	11
0036	10
0360	06
0361	05
0362	07
0363	07
0364	01
0365	02
0366	11
0367	06
0369	04
0037	01
0371	04
0372	07
0373	08
0374	09
0375	06
0376	09
0377	05
0378	05
0379	06
0038	04
0380	02
0382	05
0383	11
0385	08
0386	09
0387	11
0389	07
0039	02
0390	07
0391	05
0392	07
0393	05
0394	07
0395	11
0396	01
0397	03
0398	09
0399	07
0400	03
0402	09
0404	01
0405	02
0406	09
0407	05
0409	09
0041	03
0410	03
0411	01
0412	01
0413	01
0414	04
