paper_id	area_id
0001	14
0010	06
0100	02
1000	03
1001	05
1002	05
1003	01
1004	04
1005	12
1006	01
1007	09
1008	13
1009	03
0101	10
1010	08
1011	07
1012	07
1013	07
1014	07
1015	06
1016	07
1017	08
1018	03
1019	11
0102	08
1020	12
1021	05
1023	09
1024	06
1025	06
1026	04
1027	08
1029	06
0103	05
1030	07
1031	03
1032	03
1033	10
1035	09
1036	03
1037	04
1038	02
1039	12
0104	05
1040	12
1042	06
1043	04
1044	09
1045	07
1047	07
1048	04
1049	07
0105	05
1050	05
1051	05
1052	03
1053	03
1054	05
1055	02
1056	02
1057	02
1058	05
1059	08
0106	05
1060	06
1062	03
1063	09
1065	12
1066	05
1067	09
1068	01
1069	04
0107	05
1070	06
1072	07
1073	03
1075	08
1077	04
1079	02
0108	12
1080	09
1081	06
1082	01
1083	11
1084	13
1085	04
1086	09
1087	07
1088	04
1089	04
0109	10
1090	02
1091	05
1092	07
1094	12
1096	06
1097	12
1098	08
1099	07
0011	12
0110	11
1100	03
1101	02
1102	12
1103	11
1104	08
1105	12
1106	08
1107	09
1108	07
1109	06
0111	04
1110	08
1111	06
1112	13
1114	08
1115	06
1116	11
1117	05
1118	07
1119	03
0112	06
1120	08
1121	08
1122	02
1123	07
1124	08
1125	06
1126	13
1127	09
1128	03
1129	07
0113	08
1130	06
1131	09
1132	10
1133	03
1134	06
1135	08
1136	08
1137	06
1138	05
1139	02
0114	04
1141	06
1142	05
1143	09
1144	06
1146	04
1147	09
1148	07
1149	07
0115	08
1150	03
1151	07
1153	05
1154	03
1155	13
1156	10
1157	08
1158	05
1159	03
1160	05
1161	05
1162	08
1163	04
1164	06
1166	02
1167	04
1168	03
1169	08
0117	12
1171	09
1172	02
1173	03
1176	03
1177	05
1178	06
0118	04
1180	06
1181	06
1182	10
1184	06
1185	10
1186	04
1187	04
1188	06
1189	13
0119	06
1190	08
1191	09
1192	07
1193	09
1194	07
1196	06
1197	07
1198	09
1199	09
0012	06
0120	11
1200	05
1201	06
1202	05
1203	03
1204	06
1205	07
1206	04
1207	09
1208	04
1209	04
0121	03
1210	04
1211	04
1212	11
1213	10
1214	06
1215	07
1216	04
1217	13
1218	07
0122	04
1220	10
1221	07
1222	08
1223	09
1224	07
1225	01
1226	07
1227	06
1228	08
1229	07
0123	03
1230	05
1231	08
1232	07
1233	08
1234	05
1235	05
1236	07
1237	08
1239	13
0124	05
1240	13
1241	08
1242	08
1243	05
1244	11
1245	05
1246	05
1247	04
1248	06
1249	03
0125	07
1252	02
1253	07
1254	08
1255	08
1256	06
1258	10
1259	12
0126	05
1262	01
1263	07
1264	09
1265	07
1266	10
1267	03
1268	04
1269	03
0127	06
1270	12
1272	08
1273	07
1274	03
1275	03
1277	11
1278	06
1279	10
1280	04
1281	04
1282	04
1283	05
1284	13
1285	09
1286	12
1287	03
1288	13
1289	06
0129	02
1290	10
1291	06
1293	08
1295	10
1296	03
1297	13
1298	08
1299	03
0013	06
0130	02
1300	09
1301	07
1302	08
1305	13
1306	10
1307	05
1308	05
0131	13
1310	04
1312	10
1313	06
1314	07
1315	08
1316	12
1317	07
0132	08
1320	13
1321	08
1322	08
1323	01
1324	06
1325	08
1326	02
1328	02
1329	06
0133	06
1330	03
1331	13
1332	04
1333	11
1334	09
1335	05
1336	03
1337	09
1338	07
1339	09
0134	06
1340	10
1341	05
1342	06
1343	04
1344	10
1345	13
1346	11
1347	08
1348	06
1349	03
0135	06
1350	06
1351	07
1352	10
1353	13
1354	06
1355	02
1356	07
1357	02
1358	09
1359	06
0136	12
1360	10
1362	06
1363	05
1364	05
1366	04
1367	08
1368	06
1369	05
0137	07
1370	11
1371	04
1372	05
1373	10
1375	05
1376	10
1377	04
1378	05
1379	02
0138	11
1380	06
1381	05
1383	01
1384	13
1385	04
1386	04
1387	01
1388	05
1389	02
0139	03
1390	09
1391	05
1392	04
1393	07
1394	01
1395	12
1396	08
1397	12
1399	12
0014	06
0140	05
1400	02
1402	10
1403	13
1404	04
1405	07
1406	03
1407	07
1408	01
1409	07
0141	09
1410	06
1411	06
1412	11
1413	13
1414	11
1415	10
1417	02
1418	05
1419	01
0142	05
1420	03
1422	01
1423	07
1424	13
1425	04
1426	10
1428	12
1429	05
0143	08
1431	01
1432	09
1433	12
1434	08
1435	12
1436	04
1437	10
1438	03
1439	12
0144	08
1440	09
1441	11
1442	04
1443	08
1444	02
1445	05
1446	07
1447	08
1448	05
1449	08
0145	13
1450	09
1451	07
1452	04
1453	06
1454	08
1456	05
1457	06
1458	07
1459	10
0146	06
1460	11
1461	07
1462	03
1463	11
1464	12
1465	10
1466	13
1467	01
1468	03
1469	03
0147	12
1470	11
1471	04
1472	07
1473	12
1474	05
1475	05
1476	06
1477	08
1478	03
0148	05
1480	08
1481	02
1482	06
1483	07
1485	12
1486	03
1487	02
1488	03
1489	04
0149	04
1490	03
1491	06
1492	12
1493	09
1494	06
1495	04
1496	01
1497	03
1498	05
1499	05
0015	05
0150	06
1500	08
1501	13
1502	04
1503	10
1504	05
1505	04
1506	06
1507	13
1508	06
0151	07
1510	08
1511	02
1512	06
1514	06
1516	09
1518	12
